city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainer,aggregate,rating,featureId,maintainers,curators,sources,certValidation
,,,THA,272,1,42,,229,,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,0,,,,
,,,JPN,924,29,150,,745,126451398,37.87307291750005,137.65978516150005,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,1,,,,
,,,SGP,345,0,114,,231,5888926,1.3585676125000532,103.80420983150006,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,2,,,,
,,,NPL,1,0,1,,0,29384297,28.38379831950006,84.1027264815001,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,3,,,,
,,,MYS,900,2,75,,823,31381992,3.9309068840000734,109.69719485800007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,4,,,,
,,,KHM,37,0,1,,36,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,5,,,,
,,,LKA,60,0,3,,57,22409381,7.8766543645000695,80.82227623750006,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,6,,,,
,,,FIN,400,0,10,,390,5491218,64.9866635165001,26.09634464500006,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,7,,,,
,,,ARE,140,0,31,,109,6072475,24.340997059161296,53.97632897200003,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,8,,,,
,,,PHL,217,17,8,,192,104256076,12.108262437000064,121.93718509200005,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,9,,,,
,,,IND,194,4,15,,175,1281935911,21.151850284000083,82.74863427400004,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,10,,,,
,,,ITA,41035,3405,4440,,33190,62137802,41.826061709500074,12.56007714450007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,11,,,,
,,,SWE,1439,11,16,,1412,9960487,62.191185204500094,17.635630730000088,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,12,,,,
,,,BEL,1795,21,31,,1743,11491346,50.49042053300006,4.4297657472728815,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,13,,,,
,,,EGY,256,6,32,,218,97041072,26.825424706000064,30.791862752500094,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,14,,,,
,,,LBN,157,4,4,,149,6229794,33.86861807120964,35.85466820900007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,15,,,,
,,,IRQ,192,13,43,,136,39192111,33.21901997950006,43.65276391200004,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,16,,,,
,,,OMN,48,0,12,,36,3424386,21.444199937000064,55.911594682500095,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,17,,,,
,,,AFG,22,0,1,,21,34124811,33.930139364000084,67.6895422770001,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,18,,,,
,,,BHR,278,1,100,,177,1410942,26.024400132000068,50.53386477950008,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,19,,,,
,,,KWT,148,0,18,,130,2875422,29.315860290500055,47.48260848850009,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,20,,,,
,,,DZA,87,9,32,,46,40969443,28.032339379000085,1.6432377520000898,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,21,,,,
,,,HRV,105,1,5,,99,4292095,44.48165314050009,16.33771101500008,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,22,,,,
,,,CHE,4075,41,15,,4019,8236303,46.840811259500086,8.258983805500094,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,23,,,,
,,,AUT,2013,6,9,,1998,8754413,47.71313527500007,13.334746337500093,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,24,,,,
,,,ISR,677,0,11,,666,8299706,31.448389692000035,35.06821170350008,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,25,,,,
,,,PAK,454,2,13,,439,204924861,30.377750552000087,68.94667484550007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,26,,,,
,,,GEO,40,0,1,,39,4926330,42.31029968300004,43.34038972821833,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,27,,,,
,,,GRC,418,6,8,,404,10768477,38.322331546000065,24.119802279500078,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,28,,,,
,,,MKD,48,0,1,,47,2103721,41.591247966000054,21.726869751000095,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,29,,,,
,,,NOR,1746,7,1,,1738,5320045,69.25525543850006,18.013723178000077,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,30,,,,
,,,ROU,277,0,25,,252,21529967,45.95662750300005,24.950926754500074,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,31,,,,
,,,EST,267,0,1,,266,1251581,58.572233381000025,24.943451368500064,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,32,,,,
,,,SMR,119,11,4,,104,33537,43.92963720000006,12.437976970500117,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,33,,,,
,,,BLR,51,0,5,,46,9549747,53.72384073950006,27.942588541500044,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,34,,,,
,,,ISL,330,1,5,,324,339747,64.96666087450004,-18.861826138499936,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,35,,,,
,,,LTU,36,0,1,,35,2823859,55.16278391600002,23.911012610500066,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,36,,,,
,,,MEX,118,1,4,,113,124574795,23.629557940500092,-101.93334401247205,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,37,,,,
,,,NZL,28,0,0,,28,4510327,-40.878065687999936,172.51685631600003,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,38,,,,
,,,NGA,8,0,1,,7,190632261,9.07578074450008,8.671077514500098,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,39,,,,
,,,IRL,557,3,5,,549,5011102,53.46108633000006,-8.136179165499925,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,40,,,,
,,,LUX,335,4,0,,331,594130,49.80347279900003,6.1075130615000575,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,41,,,,
,,,MCO,7,0,0,,7,30645,43.743117918500026,7.401602119563048,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,42,,,,
,,,QAT,460,0,4,,456,2314307,25.363913984500023,51.18376712300005,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,43,,,,
,,,ECU,199,3,0,,196,16290913,-1.7634670984999161,-83.4578538649999,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,44,,,,
,,,AZE,44,1,6,,37,9961396,40.14320973750006,47.50227481750011,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,45,,,,
,,,ARM,115,0,1,,114,3045191,40.077076823500036,45.01914310700013,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,46,,,,
,,,DOM,34,2,0,,32,10734247,18.771246649000062,-70.13417985399988,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,47,,,,
,,,IDN,311,25,11,,275,260580739,-2.6357561174999375,118.08721907200007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,48,,,,
,,,PRT,785,3,3,,779,10839514,37.400416263500055,-15.94334102749994,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,49,,,,
,,,AND,53,0,1,,52,85702,42.51501586950006,1.5681518960000886,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,50,,,,
,,,LVA,86,0,1,,85,1944643,56.862861023500045,24.59194014100008,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,51,,,,
,,,MAR,63,2,1,,60,33986655,28.67223747529175,-9.030622863196513,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,52,,,,
,,,SAU,274,0,6,,268,28571770,24.244550886000077,45.132142167500064,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,53,,,,
,,,SEN,31,0,2,,29,14668522,14.474492289500091,-14.37969132899994,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,54,,,,
,,,ARG,97,3,3,,91,44293293,-38.42173074799991,-63.626654215499926,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,55,,,,
,,,CHL,238,0,0,,238,17789267,-36.567062457499944,-71.3604937374999,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,56,,,,
,,,JOR,69,0,1,,68,10248069,31.280817871500048,37.04788003839781,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,57,,,,
,,,UKR,16,2,0,,14,44033874,48.79241852100008,31.137251424000127,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,58,,,,
,,,HUN,73,1,2,,70,9850845,47.156127930000025,19.485817912000087,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,59,,,,
,,,LIE,28,0,0,,28,38244,47.15983571400008,9.533092081500058,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,60,,,,
,,,POL,355,5,1,,349,38476269,51.93482900350006,19.125478149000088,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,61,,,,
,,,TUN,39,1,0,,38,11403800,33.78217031200008,9.521981649000097,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,62,,,,
,,,BIH,63,0,2,,61,3856181,43.91899993950011,17.668099406000096,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,63,,,,
,,,SVN,286,1,0,,285,1972126,46.14379954050001,14.940281412500084,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,64,,,,
,,,ZAF,150,0,0,,150,54841552,-28.469792578999943,24.690074089500087,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,65,,,,
,,,BTN,1,0,0,,1,758288,27.518180482737833,90.40745792650009,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,66,,,,
,,,CMR,13,0,0,,13,24994885,7.407972718000032,12.350860429500074,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,67,,,,
,,,COL,102,0,1,,101,47698524,4.114416812000066,-72.93652033249992,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,68,,,,
,,,CRI,69,1,0,,68,4930258,9.615482479500045,-84.21760006449992,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,69,,,,
,,,PER,234,0,1,,233,31036656,-9.190602483184005,-75.01090500599992,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,70,,,,
,,,SRB,103,0,1,,102,7111024,44.20522467850007,20.9182886145001,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,71,,,,
,,,SVK,123,1,0,,122,5445829,48.67589304650005,19.692058553000123,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,72,,,,
,,,TGO,1,0,0,,1,7965055,8.61773549700009,0.8081207685000891,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,73,,,,
,,,MLT,53,0,2,,51,416338,35.88346995650005,14.445323113000057,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,74,,,,
,,,MTQ,23,1,0,,22,,14.6415,-61.0242,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,,,,,
,,,BGR,94,3,0,,91,7101510,42.73391529800004,25.47427473600007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,75,,,,
,,,MDV,13,0,0,,13,392709,4.213175576792927,73.52910604309824,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,76,,,,
,,,BGD,17,1,3,,13,157826578,23.73811778050007,90.33232039450004,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,77,,,,
,,,PRY,11,0,0,,11,6943739,-23.43368479399996,-58.44782303899994,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,78,,,,
,,,ALB,64,2,0,,62,3047987,41.11245290150006,20.154355916000085,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,79,,,,
,,,CYP,67,0,0,,67,1221549,34.910753335500104,33.197142898000095,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,80,,,,
,,,BRN,75,0,0,,75,443593,4.510995486500057,114.66157535500005,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,81,,,,
,,,BFA,33,1,0,,32,20107509,12.230804951500069,-1.5662045904998934,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,82,,,,
,,,VAT,1,0,0,,1,1000,41.90333333950011,12.453533325000109,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,83,,,,
,,,MNG,6,0,0,,6,3068243,46.85141784700008,103.85503503500007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,84,,,,
,,,PAN,109,1,0,,108,3753142,8.420921827000058,-80.07274338849989,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,85,,,,
,,Hubei,CHN,67800,3130,57682,,6988,59170000,31.166405443456426,112.26392825753302,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,86,,,,
,,,IRN,18407,1284,5710,,11413,82021564,32.412651216000036,53.6631116130001,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,87,,,,
,,,KOR,8565,91,1540,,6934,51181299,35.91235993050006,127.85698489700007,https://github.com/CSSEGISandData/COVID-19,,state,0.7317073170731707,88,,,,
,,Guangdong,CHN,1378,8,1318,,52,113460000,22.876783758944043,113.41792352680932,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,89,,,,
,,Henan,CHN,1273,22,1250,,1,96050000,33.87707977965809,113.48442223524788,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,90,,,,
,,Zhejiang,CHN,1233,1,1217,,15,57370000,29.189050400871963,120.1641359794138,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,91,,,,
,,Hunan,CHN,1018,4,1014,,0,68990000,27.369414984613826,111.50909061104284,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,92,,,,
,,Anhui,CHN,990,6,984,,0,63240000,32.02378204990168,117.2581712176775,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,93,,,,
,,Jiangxi,CHN,935,1,934,,0,46480000,27.275131334293633,116.01917707751011,https://github.com/CSSEGISandData/COVID-19,,state,0.7804878048780488,94,,,,
