city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainer,rating,featureId,curators,sources,countyName,certValidation,maintainers
,,,THA,322,1,42,,279,,13.04083302850006,101.54455590850003,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,0,,,,,
,,,JPN,963,33,191,,739,126451398,37.87307291750005,137.65978516150005,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,1,,,,,
,,,SGP,385,0,124,,261,5888926,1.3585676125000532,103.80420983150006,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,2,,,,,
,,,NPL,1,0,1,,0,29384297,28.38379831950006,84.1027264815001,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,3,,,,,
,,,MYS,1030,3,87,,940,31381992,3.9309068840000734,109.69719485800007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,4,,,,,
,,,KHM,51,0,1,,50,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,5,,,,,
,,,LKA,73,0,3,,70,22409381,7.8766543645000695,80.82227623750006,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,6,,,,,
,,,FIN,450,0,10,,440,5491218,64.9866635165001,26.09634464500006,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,7,,,,,
,,,ARE,140,2,31,,107,6072475,24.340997059161296,53.97632897200003,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,8,,,,,
,,,PHL,230,18,8,,204,104256076,12.108262437000064,121.93718509200005,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,9,,,,,
,,,IND,244,5,20,,219,1281935911,21.151850284000083,82.74863427400004,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,10,,,,,
,,,ITA,47021,4032,4440,,38549,62137802,41.826061709500074,12.56007714450007,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,11,,,,,
,,,SWE,1639,16,16,,1607,9960487,62.191185204500094,17.635630730000088,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,12,,,,,
,,,BEL,2257,37,1,,2219,11491346,50.49042053300006,4.4297657472728815,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,13,,,,,
,,,EGY,285,8,39,,238,97041072,26.825424706000064,30.791862752500094,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,14,,,,,
