date,country,state,county,city,type,description,severity,category
2020-04-02,CHE,,,,scraper failed,TypeError: Cannot read property 'AG' of undefined,critical,scraper failure
2020-04-02,IND,,,,scraper failed,Error: Invalid data: scraper for IND returned 0 rows,critical,scraper failure
2020-04-02,RUS,,,,scraper failed,TypeError: Cannot destructure property 'data' of '(intermediate value)' as it is null.,critical,scraper failure
2020-04-02,USA,,,,scraper failed,Error: Timeseries does not contain a sample for SCRAPE_DATE 2020-4-2,critical,scraper failure
2020-04-02,AUS,Victoria,,,scraper failed,Error: Cannot parse undefined as number.,critical,scraper failure
2020-04-02,USA,CA,Kern County,,scraper failed,"Error: Kern County, CA now uses a PNG and PDF",critical,scraper failure
2020-04-02,USA,CA,Los Angeles County,,scraper failed,Error: Invalid data: cases is not a number,critical,scraper failure
2020-04-02,USA,CA,Madera County,,scraper failed,TypeError: Cannot read property '1' of null,critical,scraper failure
2020-04-02,USA,CA,Marin County,,scraper failed,TypeError: Cannot read property '1' of null,critical,scraper failure
2020-04-02,USA,CA,Mendocino County,,scraper failed,Error: Cannot parse undefined as number.,critical,scraper failure
2020-04-02,USA,CA,Orange County,,scraper failed,Error: Need to scrape new page,critical,scraper failure
2020-04-02,USA,CA,Riverside County,,scraper failed,TypeError: Cannot read property '1' of null,critical,scraper failure
2020-04-02,USA,CA,Sacramento County,,scraper failed,Error: Invalid data: deaths is not a number,critical,scraper failure
2020-04-02,USA,CA,San Benito County,,scraper failed,Error: Need to scrape new arcgis,critical,scraper failure
2020-04-02,USA,CA,San Bernardino County,,scraper failed,Error: Cannot parse undefined as number.,critical,scraper failure
2020-04-02,USA,CA,Santa Barbara County,,scraper failed,TypeError: Cannot read property '0' of undefined,critical,scraper failure
2020-04-02,USA,CA,Santa Clara County,,scraper failed,TypeError: Cannot read property 'children' of undefined,critical,scraper failure
2020-04-02,USA,CA,Santa Cruz County,,scraper failed,Error: H2 not found,critical,scraper failure
2020-04-02,USA,CA,Solano County,,scraper failed,"Error: Solano County, CA now uses a PDF",critical,scraper failure
2020-04-02,USA,CA,Sonoma County,,scraper failed,"DeprecatedError: Sonoma switched to ArcGIS, which is handled by another scraper",critical,scraper failure
2020-04-02,USA,CA,Ventura County,,scraper failed,Error: Unexpected table layout/labels,critical,scraper failure
2020-04-02,USA,Guam,,,scraper failed,"DeprecatedError: Guam stopped offering totals on their website, but there's a sweet coloring book",critical,scraper failure
2020-04-02,USA,NH,,,scraper failed,DeprecatedError: New Hampshire stopped reporting county-level data as of 2020/3/31,critical,scraper failure
2020-04-02,FRA,French Polynesia,,,missing location,,low,locations
2020-04-02,FRA,New Caledonia,,,missing location,,low,locations
2020-04-02,FRA,Reunion,,,missing location,,low,locations
2020-04-02,NLD,Aruba,,,missing location,,low,locations
2020-04-02,GBR,Channel Islands,,,missing location,,low,locations
2020-04-02,GBR,Turks and Caicos Islands,,,missing location,,low,locations
2020-04-02,BRA,AL,"Importados/Indefinidos, AL",,missing location,,low,locations
2020-04-02,BRA,BA,"Importados/Indefinidos, BA",,missing location,,low,locations
2020-04-02,BRA,ES,"Importados/Indefinidos, ES",,missing location,,low,locations
2020-04-02,BRA,GO,"Importados/Indefinidos, GO",,missing location,,low,locations
2020-04-02,BRA,MG,"Importados/Indefinidos, MG",,missing location,,low,locations
2020-04-02,BRA,PE,"Importados/Indefinidos, PE",,missing location,,low,locations
2020-04-02,BRA,PR,"Importados/Indefinidos, PR",,missing location,,low,locations
2020-04-02,BRA,RJ,"Importados/Indefinidos, RJ",,missing location,,low,locations
2020-04-02,BRA,SC,"Importados/Indefinidos, SC",,missing location,,low,locations
2020-04-02,BRA,SC,"Pescaria Brava, SC",,missing location,,low,locations
2020-04-02,BRA,SP,"Importados/Indefinidos, SP",,missing location,,low,locations
2020-04-02,BRA,,"Mojuí dos Campos, PA",,missing location,,low,locations
2020-04-02,BRA,,"São Valério, TO",,missing location,,low,locations
2020-04-02,BRA,,"Nazária, PI",,missing location,,low,locations
2020-04-02,BRA,,"Serra Caiada, RN",,missing location,,low,locations
2020-04-02,BRA,,"Joca Claudino, PB",,missing location,,low,locations
2020-04-02,BRA,,"Tacima, PB",,missing location,,low,locations
2020-04-02,BRA,,"Belém do São Francisco, PE",,missing location,,low,locations
2020-04-02,BRA,,"Iguaracy, PE",,missing location,,low,locations
2020-04-02,BRA,,"São Caetano, PE",,missing location,,low,locations
2020-04-02,BRA,,"São Luiz do Paraitinga, SP",,missing location,,low,locations
2020-04-02,BRA,,"Balneário Rincão, SC",,missing location,,low,locations
2020-04-02,BRA,,"Pinto Bandeira, RS",,missing location,,low,locations
2020-04-02,BRA,,"Paraíso das Águas, MS",,missing location,,low,locations
2020-04-02,BRA,AC,,,missing location,,low,locations
2020-04-02,BRA,AL,,,missing location,,low,locations
2020-04-02,BRA,AP,,,missing location,,low,locations
2020-04-02,BRA,AM,,,missing location,,low,locations
