name,level,city,county,state,country,lat,long,population,url,aggregate,tz,2020-04-10,2020-04-11
American Samoa,country,,,,American Samoa,-12.8,-169.6165,55689,https://github.com/CSSEGISandData/COVID-19,county,Etc/GMT+11,0,0
Guam,country,,,,Guam,13.445,144.7905,167772,https://github.com/CSSEGISandData/COVID-19,county,Pacific/Guam,130,130
Northern Mariana Islands,country,,,,Northern Mariana Islands,17.326,145.469,55144,https://github.com/CSSEGISandData/COVID-19,county,Etc/GMT-10,6,6
United States Virgin Islands,country,,,,United States Virgin Islands,18.047,-64.834,104901,https://github.com/CSSEGISandData/COVID-19,county,America/St_Thomas,50,50
"Aleutians East Borough, Alaska, United States",county,,Aleutians East Borough,Alaska,United States,55.403239,-162.5453310518975,3337,https://github.com/CSSEGISandData/COVID-19,county,America/Nome,0,0
"Aleutians West Census Area, Alaska, United States",county,,Aleutians West Census Area,Alaska,United States,54.224759,0.31556500000000653,5634,https://github.com/CSSEGISandData/COVID-19,county,Etc/GMT,0,0
"Bristol Bay Borough, Alaska, United States",county,,Bristol Bay Borough,Alaska,United States,58.75125008756325,-156.78566558379651,836,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Denali Borough, Alaska, United States",county,,Denali Borough,Alaska,United States,63.542024,-149.99877800000002,2097,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Dillingham Census Area, Alaska, United States",county,,Dillingham Census Area,Alaska,United States,59.691452,-158.6825675,4916,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Haines Borough, Alaska, United States",county,,Haines Borough,Alaska,United States,58.9599517315778,-135.408613520411,2530,https://github.com/CSSEGISandData/COVID-19,county,America/Juneau,0,0
"Hoonah-Angoon Census Area, Alaska, United States",county,,Hoonah-Angoon Census Area,Alaska,United States,58.217178499999996,-135.297381,2148,https://github.com/CSSEGISandData/COVID-19,county,America/Juneau,0,0
"Kodiak Island Borough, Alaska, United States",county,,Kodiak Island Borough,Alaska,United States,57.3618905,-154.29755699999998,12998,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Kusilvak Census Area, Alaska, United States",county,,Kusilvak Census Area,Alaska,United States,62.09682517393679,-163.18514249999998,8314,https://github.com/CSSEGISandData/COVID-19,county,America/Nome,0,0
"Lake and Peninsula Borough, Alaska, United States",county,,Lake and Peninsula Borough,Alaska,United States,58.2723395,-156.6487125,1592,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Nome Census Area, Alaska, United States",county,,Nome Census Area,Alaska,United States,64.75931849999999,-165.6136745,10004,https://github.com/CSSEGISandData/COVID-19,county,America/Nome,0,0
"North Slope Borough, Alaska, United States",county,,North Slope Borough,Alaska,United States,69.6762745,-153.9208205,9832,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Northwest Arctic Borough, Alaska, United States",county,,Northwest Arctic Borough,Alaska,United States,66.865861,-159.76639555015652,7621,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Prince of Wales-Hyder Census Area, Alaska, United States",county,,Prince of Wales-Hyder Census Area,Alaska,United States,55.883404,-132.3350765,6203,https://github.com/CSSEGISandData/COVID-19,county,America/Sitka,0,0
"Sitka City and Borough, Alaska, United States",county,,Sitka City and Borough,Alaska,United States,57.084134,-135.493847299929,8493,https://github.com/CSSEGISandData/COVID-19,county,America/Sitka,0,0
"Skagway Municipality, Alaska, United States",county,,Skagway Municipality,Alaska,United States,59.572194499999995,-135.3535154014475,1183,https://github.com/CSSEGISandData/COVID-19,county,America/Juneau,0,0
"Valdez-Cordova Census Area, Alaska, United States",county,,Valdez-Cordova Census Area,Alaska,United States,61.490837,-144.8716865,9202,https://github.com/CSSEGISandData/COVID-19,county,America/Anchorage,0,0
"Wrangell City and Borough, Alaska, United States",county,,Wrangell City and Borough,Alaska,United States,56.26856934043104,-132.0350185,2502,https://github.com/CSSEGISandData/COVID-19,county,America/Sitka,0,0
"Yakutat City and Borough, Alaska, United States",county,,Yakutat City and Borough,Alaska,United States,59.66555898581555,-140.696663,579,https://github.com/CSSEGISandData/COVID-19,county,America/Yakutat,0,0
"Churchill County, Nevada, United States",county,,Churchill County,Nevada,United States,39.537344,-118.34398949999999,24909,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Esmeralda County, Nevada, United States",county,,Esmeralda County,Nevada,United States,37.72251048219175,-117.796282681924,873,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Eureka County, Nevada, United States",county,,Eureka County,Nevada,United States,40.080813,-116.19790549999999,2029,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Lander County, Nevada, United States",county,,Lander County,Nevada,United States,40.04691149999999,-117.194163,5532,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Lincoln County, Nevada, United States",county,,Lincoln County,Nevada,United States,37.759757,-114.972699,5183,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,1,1
"Mineral County, Nevada, United States",county,,Mineral County,Nevada,United States,38.4841675,-118.42400187688301,4505,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Pershing County, Nevada, United States",county,,Pershing County,Nevada,United States,40.4797295,-118.3196335,6725,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Storey County, Nevada, United States",county,,Storey County,Nevada,United States,39.4389915,-119.49693549999999,4123,https://github.com/CSSEGISandData/COVID-19,county,America/Los_Angeles,0,0
"Carson City, Nevada, United States",city,Carson City,,Nevada,United States,,,,https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv,county,,14,14
"Adams County, North Dakota, United States",county,,Adams County,North Dakota,United States,46.1138555,-102.49677795161551,2216,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Benson County, North Dakota, United States",county,,Benson County,North Dakota,United States,48.108778,-99.18684049999999,6832,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
"Billings County, North Dakota, United States",county,,Billings County,North Dakota,United States,46.979558999999995,-103.34977749999999,928,https://github.com/CSSEGISandData/COVID-19,county,America/Denver,0,0
"Bottineau County, North Dakota, United States",county,,Bottineau County,North Dakota,United States,48.7720895,-100.82111549999999,6282,https://github.com/CSSEGISandData/COVID-19,county,America/Chicago,0,0
