city,county,state,country,population,lat,long,url,cases,deaths,recovered,active,tested,growthFactor,date
,,,AFG,34124811,33.930139364000084,67.6895422770001,https://github.com/CSSEGISandData/COVID-19,94,4,,,,,2020-03-26
,,,ALB,3047987,41.11245290150006,20.154355916000085,https://github.com/CSSEGISandData/COVID-19,174,6,,,,,2020-03-26
,,,DZA,40969443,28.032339379000085,1.6432377520000898,https://github.com/CSSEGISandData/COVID-19,367,25,,,,,2020-03-26
,,,AND,85702,42.51501586950006,1.5681518960000886,https://github.com/CSSEGISandData/COVID-19,224,3,,,,,2020-03-26
,,,AGO,29310273,-11.211304219499908,17.89885628300003,https://github.com/CSSEGISandData/COVID-19,4,,,,,,2020-03-26
,,,ATG,94731,17.098659572500083,-61.78465735599994,https://github.com/CSSEGISandData/COVID-19,7,,,,,,2020-03-26
,,,ARG,44293293,-38.42173074799991,-63.626654215499926,https://github.com/CSSEGISandData/COVID-19,502,9,,,,,2020-03-26
,,,ARM,3045191,40.077076823500036,45.01914310700013,https://github.com/CSSEGISandData/COVID-19,290,1,,,,,2020-03-26
,,,AUT,8754413,47.71313527500007,13.334746337500093,https://github.com/CSSEGISandData/COVID-19,6909,49,,,,,2020-03-26
,,,AZE,9961396,40.14320973750006,47.50227481750011,https://github.com/CSSEGISandData/COVID-19,122,3,,,,,2020-03-26
,,,BHS,329988,23.91563150400006,-75.74170392899993,https://github.com/CSSEGISandData/COVID-19,9,,,,,,2020-03-26
,,,BHR,1410942,26.024400132000068,50.53386477950008,https://github.com/CSSEGISandData/COVID-19,458,4,,,,,2020-03-26
,,,BGD,157826578,23.73811778050007,90.33232039450004,https://github.com/CSSEGISandData/COVID-19,44,5,,,,,2020-03-26
,,,BRB,292336,13.189886786000045,-59.54055742099993,https://github.com/CSSEGISandData/COVID-19,18,,,,,,2020-03-26
,,,BLR,9549747,53.72384073950006,27.942588541500044,https://github.com/CSSEGISandData/COVID-19,86,,,,,,2020-03-26
,,,BEL,11491346,50.49042053300006,4.4297657472728815,https://github.com/CSSEGISandData/COVID-19,6235,220,,,,,2020-03-26
,,,BEN,11038805,9.306569115000109,2.3030941155000306,https://github.com/CSSEGISandData/COVID-19,6,,,,,,2020-03-26
,,,BTN,758288,27.518180482737833,90.40745792650009,https://github.com/CSSEGISandData/COVID-19,2,,,,,,2020-03-26
,,,BOL,11138234,-16.286937560999938,-63.58694087799992,https://github.com/CSSEGISandData/COVID-19,43,,,,,,2020-03-26
,,,BIH,3856181,43.91899993950011,17.668099406000096,https://github.com/CSSEGISandData/COVID-19,191,3,,,,,2020-03-26
,,,BRA,207353391,-14.236725569657125,-54.38839290699988,https://github.com/CSSEGISandData/COVID-19,2985,77,,,,,2020-03-26
,,,BRN,443593,4.510995486500057,114.66157535500005,https://github.com/CSSEGISandData/COVID-19,114,,,,,,2020-03-26
,,,BGR,7101510,42.73391529800004,25.47427473600007,https://github.com/CSSEGISandData/COVID-19,264,3,,,,,2020-03-26
,,,BFA,20107509,12.230804951500069,-1.5662045904998934,https://github.com/CSSEGISandData/COVID-19,152,7,,,,,2020-03-26
,,,CPV,560899,16.066066799000083,-23.999460415499925,https://github.com/CSSEGISandData/COVID-19,4,1,,,,,2020-03-26
,,,KHM,16204486,12.56212270450002,104.96757694500008,https://github.com/CSSEGISandData/COVID-19,96,,,,,,2020-03-26
,,,CMR,24994885,7.407972718000032,12.350860429500074,https://github.com/CSSEGISandData/COVID-19,75,1,,,,,2020-03-26
,,,CAF,5625118,6.61864105250006,20.91950301100013,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,TCD,12075985,15.451357727500067,18.71679508450009,https://github.com/CSSEGISandData/COVID-19,3,,,,,,2020-03-26
,,,CHL,17789267,-36.567062457499944,-71.3604937374999,https://github.com/CSSEGISandData/COVID-19,1306,4,,,,,2020-03-26
,,Anhui,CHN,63240000,32.02378204990168,117.2581712176775,https://github.com/CSSEGISandData/COVID-19,990,6,,,,,2020-03-26
,,Beijing,CHN,21540000,40.236575323991985,116.42780846573805,https://github.com/CSSEGISandData/COVID-19,566,8,,,,,2020-03-26
,,Chongqing,CHN,31020000,30.198712571927643,107.73296451180275,https://github.com/CSSEGISandData/COVID-19,578,6,,,,,2020-03-26
,,Fujian,CHN,39410000,25.971159641604146,118.13227705193037,https://github.com/CSSEGISandData/COVID-19,328,1,,,,,2020-03-26
